# Load-mapping outcome per corpus ROM, measured 2026-08-05 over all 287.
#
# Produced by examples/probe_load_mapping via the same
# admitted_overlay_load_mappings_v1 path that raises NoUniqueAdmittedTable.
#
# The error name conflates TWO causes, which is why this file splits them:
#   ZERO_ADMITTED  admitted:0 -- no descriptor table was found at all
#   AMBIGUOUS_<n>  admitted:n -- several tables, discovery refuses to pick
#
# Totals: 26 MAPPINGS_OK, 246 ZERO_ADMITTED, 15 ambiguous.
# Ambiguity is NOT the bottleneck -- zero-admitted outnumbers it 16:1.
outcome	rom
ZERO_ADMITTED	Super Bowling (USA)
ZERO_ADMITTED	Super Mario 64 (Europe) (En,Fr,De)
ZERO_ADMITTED	Super Mario 64 (USA)
ZERO_ADMITTED	Supercross 2000 (USA)
ZERO_ADMITTED	Superman (Europe) (En,Fr,De,Es,It,Nl)
ZERO_ADMITTED	Tarzan (France)
ZERO_ADMITTED	Taz Express (Europe) (En,Fr,De,Es,It,Nl)
ZERO_ADMITTED	Tetrisphere (USA)
ZERO_ADMITTED	Tigger's Honey Hunt (USA)
ZERO_ADMITTED	Tom Clancy's Rainbow Six (France)
ZERO_ADMITTED	Tom and Jerry in Fists of Furry (Europe) (En,Fr,De,Es,It,Nl)
ZERO_ADMITTED	Tonic Trouble (Europe) (En,Fr,De,Es,It)
ZERO_ADMITTED	Tony Hawk's Pro Skater (USA) (Rev A)
ZERO_ADMITTED	Tony Hawk's Pro Skater 2 (USA)
ZERO_ADMITTED	Tony Hawk's Pro Skater 3 (USA)
ZERO_ADMITTED	Top Gear Hyper-Bike (USA)
ZERO_ADMITTED	Top Gear Overdrive (USA)
ZERO_ADMITTED	Top Gear Rally (USA)
ZERO_ADMITTED	Top Gear Rally 2 (USA)
ZERO_ADMITTED	Toy Story 2 - Buzz l'Eclair a la Rescousse! (France)
ZERO_ADMITTED	Transformers - Beast Wars Transmetals (USA)
ZERO_ADMITTED	Triple Play 2000 (USA)
ZERO_ADMITTED	Turok - Dinosaur Hunter (Europe) (Rev A)
ZERO_ADMITTED	Turok - Rage Wars (Europe) (En,Fr,It)
ZERO_ADMITTED	Turok 2 - Seeds of Evil (Europe) (En,Fr,Es,It)
ZERO_ADMITTED	Turok 3 - Shadow of Oblivion (Europe)
ZERO_ADMITTED	Twisted Edge - Extreme Snowboarding (USA)
ZERO_ADMITTED	V-Rally Edition 99 (Europe) (En,Fr,De)
ZERO_ADMITTED	Viewpoint 2064 (USA) (Unreleased)
ZERO_ADMITTED	Vigilante 8 (France)
ZERO_ADMITTED	Vigilante 8 - 2nd Offense (USA)
ZERO_ADMITTED	Virtual Pool 64 (USA)
ZERO_ADMITTED	WCW Backstage Assault (USA)
ZERO_ADMITTED	WCW Mayhem (USA)
ZERO_ADMITTED	WWF Attitude (USA)
ZERO_ADMITTED	WWF War Zone (USA)
ZERO_ADMITTED	Waialae Country Club - True Golf Classics (USA) (Rev A)
ZERO_ADMITTED	War Gods (Europe)
ZERO_ADMITTED	Wayne Gretzky's 3D Hockey '98 (USA)
ZERO_ADMITTED	Wayne Gretzky's 3D Hockey (USA) (Rev A)
ZERO_ADMITTED	Wetrix (USA) (En,Fr,De,Es,It,Nl)
ZERO_ADMITTED	WinBack - Covert Operations (USA)
ZERO_ADMITTED	Wipeout 64 (Europe)
ZERO_ADMITTED	World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv,Da)
ZERO_ADMITTED	World Driver Championship (USA)
ZERO_ADMITTED	Worms Armageddon (USA) (En,Fr,Es)
ZERO_ADMITTED	Xena - Warrior Princess - The Talisman of Fate (Europe)
